Data,ListaOspiti,Conduttore,Show
01/12/2023,"Francesca Mannocchi, Michele Riondino, Antonio Diodato, Subsonica, Andrea Pennacchi, Paolo Celata, Constanze Reuscher, Filippo Ceccarelli, Francesca Schianchi",Diego Bianchi,Propaganda Live
24/11/2023,"Michela Marzano, Paola Turci, Francesca Mannocchi, Sabina Guzzanti, Annagaia Marchioro, Andrea Pennacchi, Matteo Mancuso, Paolo Celata, Constanze Reuscher, Filippo Ceccarelli, Francesca Schianchi",Diego Bianchi,Propaganda Live
17/11/2023,"Goumar Almoctar ‘Bombino’, Andrea Pennacchi, Paolo Celata, Constanze Reuscher, Filippo Ceccarelli, Francesca Schianchi",Diego Bianchi,Propaganda Live
10/11/2023,"Paola Cortellesi, Benjamin Clementine, Jacopo Intini, Amal Khayal, Valerio Aprea, Andrea Pennacchi, Costanze Reuscher, Francesca Schianchi, Filippo Ceccarelli, Paolo Celata",Diego Bianchi,Propaganda Live
03/11/2023,"Francesca Mannocchi, Sabina Guzzanti, Andrea Pennacchi, Judith Hill, Paolo Celata, Constanze Reuscher, Filippo Ceccarelli, Francesca Schianchi",Diego Bianchi,Propaganda Live
27/10/2023,"Francesca Mannocchi, Sabina Guzzanti, Colapesce & Dimartino, Marcus Miller, Andrea Pennacchi, Paolo Celata, Constanze Reuscher, Filippo Ceccarelli, Francesca Schianchi",Diego Bianchi,Propaganda Live
06/10/2023,"Viola Ardone, Toni Green, Johnny Palomba, Vincenzo Pirrotta",Diego Bianchi,Propaganda Live
29/09/2023,"Don Luigi Ciotti, Sabina Guzzanti, Kula Shaker, Andrea Pennacchi, Constanze Reuscher, Paolo Celata, Filippo Ceccarelli, Francesca Schianchi",Diego Bianchi,Propaganda Live
22/09/2023,"Matteo Garrone, Seydou Sarr, Moustapha Fall, Mamadou Kouassi, Tahnee Rodriguez, Andrea Pennacchi, Valerio Aprea, Paolo Celata, Constanze Reuscher, Filippo Ceccarelli, Francesca Schianchi",Diego Bianchi,Propaganda Live
11/06/2024,"Luca, Paolo, Pierluigi Bersani, Pierferdinando Casini, Massimo Giannini, Elsa Fornero, Alessandro Di Battista, Francesco Storace, Elisabetta Piccolotti, Sergio Rizzo, Corrado Formigli, Alberto Nerazzini, Lella Costa, Matteo Ricci, Achille Totaro, Chiara Giannini, Massimo Corsaro, Ascanio Celestini, Antonio Di Bella, Antonio Padellaro, Nando Pagnoncelli, Bruno Tabacci, Raffaele Nevi, Gianluigi Paragone, Marco Antonellis, Alessandro Cassieri, Alessandro De Angelis, Paride Vitale, Antonio Polito, Marcello Sorgi",Giovanni Floris,Di Martedi
04/06/2024,"Luca, Paolo, Roberto Vecchioni, Massimo Giannini, Giuseppe Conte, Massimo Giannini, Elly Schlein, Lucia Annunziata, Carlo Calenda, Massimo Magliaro, Milena Gabanelli, Sergio Rizzo, Matteo Renzi, Italo Bocchino, Alessandro Di Battista, David Parenzo, Stefano Zurlo, Francesco Giubilei, Achille Totaro, Evelina Christillin, Mariella Stella, Dario Nardella, Elisabetta Piccolotti, Ileana Como, Donatella Di Cesare, Giacomo Mameli, Barbara Gallavotti, Alessandro De Angelis, Gianni Scipione Rossi, Manuela Repetti, Alessandro Zan, Riccardo Magi, Luca Telese, Concetto Vecchio",Giovanni Floris,Di Martedi
28/05/2024,"Luca, Paolo, Michele Santoro, Alessandra Moretti, Alessandro Di Battista, Italo Bocchino, Elisabetta Piccolotti, Ascanio Celestini, Carlo Rossella, Giuseppe Conte, Francesco Storace, Massimo Cacciari, Maurizio Landini, Sergio Rizzo, Achille Totaro, Massimo Corsaro, Alessandro Cattaneo, Chiara Appendino, Ileana Como, Suor Paola Arosio, Lella Costa, Antonio Caprarica, Barbara Gallavotti, Dario Laruffa, Francesco Giubilei, Alessandro Giuli, Antonio Di Bella, Alessandro Zan, Carolina Capria, Gianluca Verzelli, Claudia Conte, Andrea Mancia, Laura Castelli, Matteo Ricci",Giovanni Floris,Di Martedi
21/05/2024,"Pierluigi Bersani, Massimo Gramellini, Elly Schlein, Ascanio Celestini, Italo Bocchino, Sergio Rizzo, Alessandro Di Battista, Francesco Storace, Achille Totaro, Chiara Giannini, Donatella Di Cesare, Vittoria Baldino, Elisabetta Piccolotti, Suor Paola Arosio, Patrizia Carrano, Roberto Salis ",Giovanni Floris,Di Martedi
14/05/2024,"Luca, Paolo, Corrado Augias, Lucia Annunziata, Piero Dorfles, Alessandro Di Battista, Francesco Storace, Massimo Magliaro, Lella Costa, Anna Falcone, Barbara Floridia, Sergio Rizzo, Elly Schlein, Mauro Mazza, Achille Totaro, Massimo Corsaro, Elisabetta Piccolotti, Flavio Fusi, Mariella Stella, Lella Costa, Giacomo Mameli, Emmanuela Bertucci, Barbara Gallavotti, Nando Pagnoncelli, Gianfranco Massolo, Tommaso Cerno, Francesco Giubilei, Bruno Tabacci, Tiare Gatti Mora, Antonio Di Bella, Mario Natangelo",Giovanni Floris,Di Martedi
07/05/2024,"Luca, Paolo, Lilli Gruber, Michele Santoro, Carlo Calenda, Italo Bocchino, Carlo Rossella, Maurizio Landini, Edward Luttwak, Massimo Giannini, Maurizio Landini, Alessandro Di Battista, Francesco Storace, Mauro Mazza, Raffaele Nevi, Chiara Appendino, Marcello Fois, Elisabetta Piccolotti, David Parenzo, Evelina Christillin, Barbara Gallavotti, Achille Totaro, Renata Polverini, Marco Antonellis, Annalisa Corrado, Stefano Balassone, Ileana Como, Antonio Di Bella, Roberto Napoletano, Marino Sinibaldi, Emmanuela Bertucci, Goffredo Bettini, Giorgio Manzi",Giovanni Floris,Di Martedi
30/04/2024,"Ascanio Celestini, Luca, Paolo, Michele Santoro, Pietro Senaldi, Elly Schlein, Alessandro Di Battista, Francesco Storace, Francesco Giubilei, Elisabetta Piccolotti, Eliana Como, Sergio Rizzo, Antonio Padellaro, Massimo Corsaro, Achille Totaro, Lella Costa, Dario Nardella, Marta Collot, Donatella Di Cesare, Stefano Zurlo, Giacomo Mameli, Le Vie dei Canti, Filippo La Porta, Alessandro Cattaneo, Francesco Delzio, Sandro Ruotolo, Tiziana Ferrario, Caterina Capria, Andrea Malaguti, Roberto Seghetti, Giovanni Grasso, Gabriella Greyson",Giovanni Floris,Di Martedi
23/04/2024,"Luca, Paolo, Pierluigi Bersani, Roberto Saviano, Maurizio Landini, Francesco Storace, Pietro Senaldi, Eliana Como, Marco Furfaro, Mariella Stella, Aldo Cazzullo, Alessandro Barbero, Alessandro Di Battista, Italo Bocchino, Massimo Magliaro, Elisabetta Piccolotti, Alessandro De Angelis, Carolina Capria, Ascanio Celestini, Stefano Zurlo, Vinicio Capossela, Piero Dorfles, Flavio Fusi, Achille Totaro, Chiara Giannini, Francesco Giubilei, Mariella Stella, Bruno Tabacci, Paolo Di Paolo, Marta Collot",Giovanni Floris,Di Martedi
16/04/2024,"Luca, Paolo, Corrado Augias, Michele Santoro, Italo Bocchino, Francesco Storace, Alessandra Moretti, Anna Falcone, Mariella Stella, Matteo Ricci, Alessandro Di Battista, Achille Totaro, Massimo Corsaro, Ileana Como, Matteo Ricci, Carolina Capria, Alessandro De Angelis, Donatella Di Cesare, Francesco Storace, Pietro Senaldi, Elisabetta Piccolotti, Anna Falcone, Nando Pagnoncelli, Don Vincenzo Paglia, Antonio Di Bella, Bruno Tabacci, Andrea Mancia, Mariella Stella, Tommaso Giartosio, Goffredo Buccini, Michele Vietti, Tommaso Zanella",Giovanni Floris,Di Martedi
09/04/2024,"Luca, Paolo, Massimo Giannini, Alessandro Di Battista, Italo Bocchino, Massimo Magliaro, Marco Furfaro, Elisabetta Piccolotti, Serena Bortone, Elsa Fornero, Carlo Calenda, Antonio Padellaro, Pierferdinando Casini, Edward Luttwak, Donatella Di Cesare, Achille Totaro, Mauro Mazza, Evelina Christillin, Emanuele Trevi, Serena Bortone,  Stefano Zurlo, padre Enzo Fortunato, Raffaele Nevi, Alessandro Zan, Vittoria Baldino, Alessandro De Angelis, Antonio Di Bella, Riccardo Milani",Giovanni Floris,Di Martedi
02/04/2024,"Lella Costa, Luca, Paolo, Pierluigi Bersani, Francesco Storace, Massimo Corsaro, Antonio Padellaro, Mauro Mazza, Achille Totaro, Alessandro Di Battista, Anna Falcone, Carlo Rossella,Maurizio Landini,Tomaso Montanari, Edward Luttwak, Ileana Como, Stefano Toti, Achille Totaro, Pietro Senaldi, Dario Nardella, Elisabetta Piccolotti, Flavia Carlini, Roberto Salis, Regina De Albertis, Alessandro Cattaneo, Francesco Giubilei, Guendalina Anzolin, Federico Fornaro, Ginevra Bompiani, Dario Laruffa, Pietro Benassi, Claudio Tito, Vasco La Salvia ",Giovanni Floris,Di Martedi
19/03/2024,"Luca, Paolo, Walter Veltroni, Evelina Christillin, Francesco Storace, Massimo Corsaro, Chiara Gribaudo, Lella Costa, Anna Falcone, Massimo Gramellini, Milena Gabanelli, Massimo Cacciari, Carlo Calenda, Alessandro Di Battista, Emanuele Trevi, Giorgio Mulè, Italo Bocchino, Giulia Innocenzi, Elisabetta Piccolotti, Mariella Stella, Marcello Sorgi, Nando Pagnoncelli, Andrea Malaguti, Veronica De Romanis, Matteo Ricci, Raffaele Nevi, Vittoria Morrone, Achille Totaro, Federico Rampini, Luca Telese",Giovanni Floris,Di Martedi
12/03/2024,"Luca, Paolo, Pierluigi Bersani, Michele Santoro, Alessandro Di Battista, Francesco Storace, Giorgio Mulè, Marta Bonafoni, Elisabetta Piccolotti, Leo Gullotta, Carlo Calenda, Roberto Vannacci",Giovanni Floris,Di Martedi
05/03/2024,"Luca, Paolo, Massimo Giannini, Alessandro Di Battista, Marco Furfaro, Anna Falcone, Giulia Innocenzi, Achille Totaro, Francesco Storace, Carlo Rossella, Corrado Augias, Roberto Vecchioni, Carlo Calenda, Stefano Toti, Italo Bocchino, Chiara Giannini, Vittoria Morrone, Francesca Cavallo, Elisabetta Piccolotti, Bruno Tabacci, Giacomo Mameli, David Parenzo, Federico Rampini, Andrea Mancia, Massimo Magliaro, Francesco Giubilei, Benedetta Scuderi, Brando Benifei, Barbara Floridia, Roberto Salis, Paolo Galdieri, Giuliano Guida Bardi",Giovanni Floris,Di Martedi
27/02/2024,"Luca, Paolo, Corrado Augias, Alessandra Todde, Alessandro Di Battista, Giorgio Mulè, Italo Bocchino, Elisabetta Piccolotti, Paolo Romano, Lella Costa, Marcello Fois, Michele Santoro, Giuseppe Conte, Maurizio Landini, Carlo Calenda, Pierferdinando Casini, Francesco Storace, Mauro Mazza, David Parenzo, Donatella Di Cesare, Anna Falcone, Giacomo Mameli, Stefano Zurlo, Antonio Di Bella, Francesco Giubilei, Massimo Magliaro, Gianluca Spadoni, Bruno Tabacci, Ermete Realacci, Daniela Patti, Marta Collot, Massimo Franco",Giovanni Floris,Di Martedi
20/02/2024,"Luca, Paolo, Corrado Augias, Michele Santoro, Alessandro Di Battista, Francesco Storace, Giorgio Mulè, Elisabetta Piccolotti, Donatella Di Cesare, Eliana Como, Dargen D'Amico, Elly Schlein, Pierferdinando Casini, suor Paola Arosio, Italo Bocchino, Mauro Mazza, Dario Nardella, Mariella Stella, Daniela Patti, Marta Collot, Stefano Zurlo, Elsa Fornero, Nando Pagnoncelli, Achille Totaro, Alessandro Cattaneo, Monica Di Pierri, Riccardo Magi, Alessandra Moretti, Dario Laruffa, Fabrizio Gatti, Salvatore Attanasio, Andrea Scazzola ",Giovanni Floris,Di Martedi
13/02/2024,"Luca, Paolo, Massimo Giannini, Alessandro Di Battista, Elisabetta Piccolotti, Chiara Appendino, Francesca Reggiani, Mauro Mazza, Francesco Storace, Maurizio Landini, Elsa Fornero, Sigfrido Ranucci, Massimo Magliaro, Daniela Patti, Alessandro Cattaneo, Anna Falcone, Donatella Di Cesare, Paolo Romano, Stefano Zurlo, Carlo Calenda, Bruno Tabacci, Achille Totaro, Francesco Giubilei, Leonardo Becchetti, Giuliano Guida Bardi, Simona Colarizi, Candida Morvillo, Lorenzo Tosa, Donatella Di Cesare",Giovanni Floris,Di Martedi
06/02/2024,"Luca, Paolo, Pierluigi Bersani, Alessandro Di Battista, Licia Ronzulli, Italo Bocchino, Anna Falcone, Ileana Como, Elisabetta Piccolotti, Roberto Salis, Carlo Rossella, Carlo Calenda, Stefano Bonaccini, Mauro Mazza, Elly Schlein, Maurizio Molinari, Antonio Caprarica, Massimo Corsaro, Donatella Di Cesare, Eliana Como, Paolo Romano, Stefano Meloccaro, Antonio Di Bella, Stefano Zurlo, Nando Pagnoncelli, Paolo Galdieri, Manuela Donghi, Alessandro Cattaneo, Gianni Scipione Rossi, Angelo Bonelli, Matteo Ricci, Michele Ainis, Roberto Napoletano, Paola Tommasi, Andrea Mancia, Laura Del Santo, Stefano Graziano, Bruno Tabacci, Lara Ghiglione, Davide Desario",Giovanni Floris,Di Martedi
23/01/2024,"Luca, Paolo, Corrado Augias, Emanuele Trevi, Massimo Corsaro, Alessandro Cattaneo, Donatella Di Cesare, Roberto Speranza, Cathy La Torre, Michele Santoro, Sergio Castellitto, Maurizio Landini, Alessandro Di Battista, Gianfranco Rotondi, Massimo Magliaro, Beatrice Lorenzin, Luciana Castellina, Elisabetta Piccolotti, Paola Tommasi, Bianca Tedone, Edward Luttwak, Antonio Caprarica, Gianni Scipione Rossi, Dario Laruffa, Alessandro Zan, Francesca Romana D'Antuono, Marco Antonellis, Stefano Zurlo, Achille Occhetto, Roberto Speranza  ",Giovanni Floris,Di Martedi
16/01/2024,"Luca, Paolo, Pierluigi Bersani, Alessandro Di Battista, Massimo Magliaro, Giorgio Mulè, Elisabetta Piccolotti, Lella Costa, Anna Falcone, Antonio Di Bella, Carlo Rossella, Carlo Calenda, Dario Nardella, Italo Bocchino, Mauro Mazza, Licia Ronzulli, Giacomo Mameli, Eliana Como, Marino Sinibaldi, Emmanuela Bertucci, Francesco Giubilei, David Parenzo, Suor Paola Arosio, Giacomo Lasorella, Bruno Tabacci, Giorgia Serughetti, Beatrice Lorenzin, Claudia Conte, Luigi Scordamaglia, Stefano Zurlo, Andrea Prete, Alessandro Barbano",Giovanni Floris,Di Martedi
09/01/2024,"Luca, Paolo, Marco Travaglio, Alessandro Di Battista, Marcello Fois, Giorgio Mulè, Italo Bocchino, Elisabetta Piccolotti, Anna Falcone, Michele Santoro, Jannis Varoufakis, Maurizio Landini, Francesco Giubilei, Massimo Magliaro, Stefano Toti, David Parenzo, Marta Bonafoni, Mariella Stella, Donatella Di Cesare, Antonio Caprarica, Luca Sommi, Antonio Di Bella, Andrea Malaguti, Emmanuela Bertucci, Pietro Orlandi, Marco Travaglio, Nando Pagnoncelli, Andrea Mancia, Francesco Giubilei, Francesco Delzio, Matteo Ricci, Mariella Stella, Antonio Caprarica, Anna Bonalume, Emanuele Fiano",Giovanni Floris,Di Martedi
19/12/2023,"Luca, Paolo, Pierluigi Bersani, Bruno Vespa, Mauro Mazza, Marco Furfaro, Elisabetta Piccolotti, Suor Paola Arosio, Giuseppe Conte, Marco Travaglio, Alessandro Di Battista, Italo Bocchino, Chiara Giannini, Evelina Christillin, Dario Nardella, Eliana Como, Maurizio Mannoni, David Parenzo, Ludina Barzini, Antonio Di Bella, Aldo Cazzullo, Tosca",Giovanni Floris,Di Martedi
12/12/2023,"Luca, Paolo, Corrado Augias, Alessandro Di Battista, Elisabetta Piccolotti, Donatella Di Cesare, Italo Bocchino, Mauro Mazza, Giacomo Mameli, Elly Schlein, Maurizio Molinari, Michele Santoro, Bruno Tabacci, Marta Bonafoni, Eliana Como, Fabio Dragoni, Alessandro Cattaneo, Chiara Giannini, Alan Friedman, Maurizio Mannoni, Elsa Fornero, Stefano Zurlo, Michela Ponzani, Luigi Contu, Giovanni Orsina, Stefano Meloccaro, Tiziana Cignarelli, Mons. Vincenzo Paglia, Luca Bottura",Giovanni Floris,Di Martedi
05/12/2023,"Luca, Paolo, Michele Santoro, suor Paola Arosio, Fabio Dragoni, Alessandro Cattaneo, Gianni Scipione Rossi, Elisabetta Piccolotti, Dario Nardella, Anna Falcone, Pierluigi Bersani, Carlo Calenda, Massimo Magliaro, Stefano Bonaccini, Alessandro Di Battista, Massimo Magliaro, Emmanuela Bertucci, Antonio Caprarica, Filippo La Porta, Mariella Stella, Matteo Ricci, David Parenzo, Antonio Di Bella, Stefano Zurlo, Nando Pagnoncelli, Dario Laruffa, Fulvio Giuliani, Andrea Mancia, Bruno Tabacci, Edoardo Purgatori, Paolo Genovese, Gigliola Cinguetti",Giovanni Floris,Di Martedi
28/11/2023,"Luca, Paolo, Massimo Giannini, Alessandro Di Battista, Mauro Mazza, Italo Bocchino, Francesca Fialdini, Elisabetta Piccolotti, Piercamillo Davigo, Carlo Rossella, Maurizio Landini, Marco Travaglio, Stefano Toti, Fabio Dragoni, Evelina Christillin, Marta Bonafoni, Donatella Di Cesare, Maurizio Mannoni, Donatella Finocchiaro, David Parenzo, Suor Paola Arosio, Stefano Zurlo, Sabino Cassese, Francesco Giubilei, Filippo La Porta, Alessandra Sardoni, Alessandro Zan, Mario Lavia, Paolo Aleotti",Giovanni Floris,Di Martedi
21/11/2023,"Luca, Paolo, Pierluigi Bersani, Eliana Como, Gianni Scipione Rossi, Giorgio Mulè, Anna Falcone, Emanuele Trevi, Michele Santoro, Nicola Gratteri, Alessandro Di Battista, Marta Bonafoni, Bruno Tabacci, Anna Falcone, Mauro Mazza, Francesco Giubilei, Chiara Giannini, Antonio Caprarica, Antonio Di Bella, Michel Martone, Roberto Zaccaria, Paola Tommasi, Barbara Floridia, Bruno Tabacci, Roberto Napoletano, Maurizio Molinari, Renato Soru ",Giovanni Floris,Di Martedi
14/11/2023,"Luca, Paolo, Corrado Augias, Alessandro Di Battista, Dario Nardella, Alessandra Todde, Eliana Como, Massimo Magliaro, Francesco Giubilei, Antonio Di Bella, Bruno Vespa, Italo Bocchino, Elisabetta Piccolotti, Donatella Di Cesare, Massimo Cacciari, Carlo Calenda, Antonio Padellaro, Alessandro Cattaneo, Fabio Granata, Ginevra Bompiani, Barbara Floridia, Maurizio Mannoni, Michel Martone, Chiara Giannini, Laura Del Santo, Andrea Malaguti, Alessandro Genovesi, Pietro Orlandi, Nando Pagnoncelli, Bruno Tabacci, Matteo Ricci, Andrea Mancia, Claudia Conte, Francesco Prudenzano, Federico Rampini, Federico Dolce, Paolo Mieli, Gianna Fregonara",Giovanni Floris,Di Martedi
07/11/2023,"Luca, Paolo, Michele Santoro, Alessandro Di Battista, Mauro Mazza, Licia Ronzulli, Elisabetta Piccolotti, Suor Paola Arosio, Antonio Caprarica, Elly Schlein, Massimo Magliaro, Maurizio Landini, Francesco Giubilei, Fabio Dragoni, Alessandro Cattaneo, Matteo Ricci, Mariolina Castellone, Marino Sinibaldi, Laura Pertici, David Parenzo, Antonio Di Bella, Emmanuela Bertucci, Clara Mattei, Giacomo Mameli, Bruno Tabacci, Benedetta Scuderi, Chiara Giannini, Dario Laruffa, Maurizio Mannoni, Marcello Sorgi, Giuseppe Mazzei, Paolo Galdieri",Giovanni Floris,Di Martedi
31/10/2023,"Luca, Paolo, Massimo Giannini, Alessandro Di Battista, Italo Bocchino, Francesco Giubilei, Elisabetta Piccolotti, Michele Emiliano, Donatella Di Cesare, Antonio Di Bella, Paola Tommasi, Carlo Calenda, Elsa Fornero, Giorgio Mulè, Fabrizio Roncone, Maurizio Mannoni, Massimo Magliaro, Stefano Zurlo, Ileana Como, Dario Nardella, Mariella Stella, Antonio Caprarica, Andrea Zhok, Emmanuela Bertucci, Andrea Mancia, Stefano D'Orsi, Matteo Ricci, Daniela Rondinelli, Angelo D'Orsi, Paolo Di Paolo, Massimo Martinelli, Riccardo Milani",Giovanni Floris,Di Martedi
24/10/2023,"Luca, Paolo, Pierluigi Bersani, Alessandro Di Battista, Italo Bocchino, Elisabetta Piccolotti, Anna Falcone, Michele Santoro, Carlo Rossella, Antonio Padellaro, Mauro Mazza, Francesco Giubilei, Alessandro Cattaneo, David Parenzo, Eliana Como, Ginevra Bompiani, Filippo La Porta, Antonio Di Bella, Stefano Zurlo, Nando Pagnoncelli, Andrea Mancia, Matteo Porru, Sara Manfuso, Francesca Cavallo, Bruno Tabacci, Stefano Meloccaro, Luca Bianchi, Eric Salerno, Fabrizio Roncone",Giovanni Floris,Di Martedi
17/10/2023,"Luca, Paolo, Giuliano Amato, Alessandro Di Battista, Italo Bocchino, Giorgio Mulè, Evelina Christillin, Eliana Como, Elisabetta Piccolotti, Mariella Stella, Antonio Di Bella, Elsa Fornero, Elly Schlein, Claudio Bisio, Alessandro Sallusti, Maurizio Mannoni, Don Beniamino Sacco, Licia Ronzulli, Stefano Toti, Massimo Magliaro, Dario Nardella, Eliana Como, Emmanuela Bertucci, Antonio Caprarica, Donatella Stasio, Dario Laruffa, Francesco Giubilei, Fabio Dragoni, Alessandro Zan, Mirella Serri, Andea Zhok, Paola Caridi, Giovanni Benincasa",Giovanni Floris,Di Martedi
10/10/2023,"Luca, Paolo, Corrado Augias, Antonio Di Bella, Anna Falcone, Elisabetta Piccolotti, Alessandro Di Battista, Mauro Mazza, Alessandro Cattaneo, Fabio Dragoni, Massimo Cacciari, Stefano Bonaccini, Paola Tommasi, Massimo Magliaro, Antonio Caprarica, Stefano Zurlo, Francesco Giubilei, Claudia Conte, David Parenzo, Emmanuela Bertucci, Eliana Como, Vittoria Morrone, Donatella Di Cesare, Maurizio Mannoni, Matteo Ricci, Piercamillo Davigo, Nando Pagnoncelli, Flavio Tosi, Antonio Di Bella, Matteo Ricci, Benedetta Scuderi, Alessandro Sansoni, Bruno Tabacci, Don Filippo Martoriello, Raffaello Lupi, Paolo Di Paolo, Federica Brancaccio, Aldo Cazzullo, Antonio Talia",Giovanni Floris,Di Martedi
03/10/2023,"Massimo Giannini, Luca, Paolo, Elisabetta Piccolotti, Lucia Ronzulli, Alessandro Di Battista, Sabina Guzzanti, Mauro Mazza, Antonio Di Bella, Maurizio Landini, Elsa Fornero, Massimo Magliaro, Dario Nardella, David Parenzo, Fabio Dragoni, Alessandro Cattaneo, Chiara Gribaudo, Barbara Floridia, Francesca Donato, Emanuele Trevi, Piercamillo Davigo, Emmanuela Bertucci, Giulia Stringhini, Manuela Donghi, Bendetta Scuderi, Dario Laruffa, Stefano Meloccaro, Gennaro Sicolo, Andrea Mancia, Marco Valle, Federico Rampini, Gianfranco Rotondi, Ginevra Bompiani, Bruno Tabacci, Roberto Cotroneo",Giovanni Floris,Di Martedi
26/09/2023,"Aldo Cazzullo, Luca, Paolo, Pierluigi Bersani, Maurizio Mannoni, Massimo Magliaro, Mauro Mazza, Giorgio Mulè, Elisabetta Piccolotti, Alessandro Zan, Donatella Di Cesare, Suor Paola Arosio, Carlo Rossella, Carlo Calenda, Massimo Gramellini, Alessandro Di Battista, Italo Bocchino, Fabio Dragoni, Giovanni Toti, Francesco Giubilei, David Parenzo, Bruno Tabacci, Eliana Como, Francesca Cavallo, Filippo La Porta, Emanuela Bertucci, Antonio Caprarica, Stefano Zurlo, Nando Pagnoncelli, Federico Rampini, Alessandro Cattaneo, Paola Tommasi, Matteo Ricci, Simona Colarizi, Leonardo Colombati, Angelo D'Orsi, Marco Antonellis",Giovanni Floris,Di Martedi
19/09/2023,"Luca, Paolo, Corrado Augias, Stefano Bonaccini, Italo Bocchino, Alessandro Dibattista, Donatella Di Cesare, Marco Travaglio, Milena Gabanelli, Massimo Magliaro, Claudia Svampa, Alessandro Cattaneo, Mariella Stella, Frida Giannini, Dario Nardella, Elisabetta Piccolotti, Maurizio Mannoni, Elsa Fornero, Stefano Zurlo, Marino Sinibaldi, Massimo Magliaro, Claudia Svampa, Frida Giannini, I Tenores di Neoneli, Dario Laruffa, Francesco Giubilei, Massimo Magliaro, Bruno Socillo, Constanze Reuscher, Bruno Tabacci, Eliana Como, Barbara Floridia, Giacomo Mameli, Franco Bernini",Giovanni Floris,Di Martedi